,wavelength,TranDep,sigma_p,sigma_m
0,0.60044,0.014123300000000002,0.0010939,-0.0010939
1,0.60085,0.015497,0.001291,-0.001291
2,0.60126,0.0128239,0.0012779,-0.0012779
3,0.60167,0.015329299999999999,0.0010184,-0.0010184
4,0.60208,0.0145843,0.0012362,-0.0012362
5,0.60249,0.0164112,0.0012822,-0.0012822
6,0.6029,0.0162757,0.0011763,-0.0011763
7,0.60331,0.014985100000000001,0.0011512,-0.0011512
8,0.60372,0.0152294,0.0012917,-0.0012917
9,0.60413,0.0137516,0.001157,-0.001157
10,0.60454,0.0138207,0.0010566,-0.0010566
11,0.60495,0.014816800000000001,0.0011713,-0.0011713
12,0.60536,0.0151502,0.0013469,-0.0013469
13,0.60577,0.0153357,0.0009977999999999999,-0.0009977999999999999
14,0.60618,0.0156471,0.0012927,-0.0012927
15,0.60659,0.0169423,0.0012792,-0.0012792
16,0.60701,0.0157467,0.0015506,-0.0015506
17,0.60742,0.0137652,0.0011082,-0.0011082
18,0.60783,0.0162034,0.0011166,-0.0011166
19,0.60824,0.014945900000000002,0.0008078,-0.0008078
20,0.60865,0.0156186,0.0008667,-0.0008667
21,0.60906,0.0141827,0.0011766,-0.0011766
22,0.60948,0.013418399999999999,0.0012864,-0.0012864
23,0.60989,0.0151996,0.0011462,-0.0011462
24,0.6103,0.015679099999999998,0.0009080000000000001,-0.0009080000000000001
25,0.61071,0.015373900000000001,0.0011609,-0.0011609
26,0.61113,0.0163948,0.0011136,-0.0011136
27,0.61154,0.012547200000000001,0.0009601999999999999,-0.0009601999999999999
28,0.61195,0.015721000000000002,0.0008018000000000001,-0.0008018000000000001
29,0.61236,0.0152511,0.0012156,-0.0012156
30,0.61278,0.014676,0.0011982,-0.0011982
31,0.61319,0.014413800000000001,0.0010831,-0.0010831
32,0.6136,0.015965800000000002,0.0014038,-0.0014038
33,0.61402,0.0160258,0.0011279,-0.0011279
34,0.61443,0.014743,0.0007621,-0.0007621
35,0.61484,0.014624,0.0009624000000000001,-0.0009624000000000001
36,0.61526,0.0142586,0.0008729000000000001,-0.0008729000000000001
37,0.61567,0.015141199999999999,0.0008614,-0.0008614
38,0.61609,0.014217,0.000965,-0.000965
39,0.6165,0.013877200000000001,0.0008673,-0.0008673
40,0.61692,0.0133703,0.0009714000000000001,-0.0009714000000000001
41,0.61733,0.015382499999999999,0.0008571,-0.0008571
42,0.61775,0.014668200000000001,0.0008998000000000001,-0.0008998000000000001
43,0.61816,0.0147838,0.0008792,-0.0008792
44,0.61858,0.0149966,0.0009028,-0.0009028
45,0.61899,0.0149488,0.0009282,-0.0009282
46,0.61941,0.0155924,0.001018,-0.001018
47,0.61982,0.0135069,0.0007726,-0.0007726
48,0.62024,0.0140394,0.0009760000000000001,-0.0009760000000000001
49,0.62065,0.0158612,0.0008059,-0.0008059
50,0.62107,0.015172900000000001,0.0010360999999999999,-0.0010360999999999999
51,0.62148,0.0137337,0.0008131,-0.0008131
52,0.6219,0.0156181,0.0008391,-0.0008391
53,0.62232,0.0150826,0.0007965,-0.0007965
54,0.62273,0.015629900000000002,0.0010172,-0.0010172
55,0.62315,0.015049300000000002,0.0008860999999999999,-0.0008860999999999999
56,0.62357,0.0145485,0.0008514,-0.0008514
57,0.62398,0.0146874,0.0007495000000000001,-0.0007495000000000001
58,0.6244,0.0151534,0.0006868000000000001,-0.0006868000000000001
59,0.62482,0.0153937,0.0008257000000000001,-0.0008257000000000001
60,0.62523,0.014756,0.0009843,-0.0009843
61,0.62565,0.0146226,0.0008732,-0.0008732
62,0.62607,0.013686799999999999,0.0008535,-0.0008535
63,0.62649,0.0144285,0.0009554,-0.0009554
64,0.6269,0.0154602,0.000787,-0.000787
65,0.62732,0.0160744,0.0010293,-0.0010293
66,0.62774,0.0138888,0.0006957,-0.0006957
67,0.62816,0.0147237,0.0008974,-0.0008974
68,0.62858,0.0143531,0.0006907,-0.0006907
69,0.62899,0.013551,0.000576,-0.000576
70,0.62941,0.0144609,0.0006887,-0.0006887
71,0.62983,0.0139407,0.0009109000000000001,-0.0009109000000000001
72,0.63025,0.0154592,0.000837,-0.000837
73,0.63067,0.014569700000000001,0.000881,-0.000881
74,0.63109,0.013864099999999999,0.0009054,-0.0009054
75,0.63151,0.014030100000000002,0.0006442,-0.0006442
76,0.63193,0.0159609,0.0008412000000000001,-0.0008412000000000001
77,0.63235,0.014501100000000001,0.0006575,-0.0006575
78,0.63276,0.014433000000000001,0.0006992,-0.0006992
79,0.63318,0.0147814,0.0007488,-0.0007488
80,0.6336,0.0141543,0.0006519,-0.0006519
81,0.63402,0.0148211,0.000732,-0.000732
82,0.63444,0.014289300000000001,0.0008865000000000001,-0.0008865000000000001
83,0.63486,0.013857900000000001,0.0006841,-0.0006841
84,0.63528,0.0158457,0.0009747,-0.0009747
85,0.6357,0.0144618,0.0006362,-0.0006362
86,0.63613,0.0137599,0.0006267,-0.0006267
87,0.63655,0.0133832,0.0007754,-0.0007754
88,0.63697,0.0137424,0.0007038,-0.0007038
89,0.63739,0.014658000000000001,0.0006251,-0.0006251
90,0.63781,0.013982099999999999,0.0006789000000000001,-0.0006789000000000001
91,0.63823,0.0139456,0.0006516,-0.0006516
92,0.63865,0.0127916,0.0005226,-0.0005226
93,0.63907,0.015011300000000002,0.000626,-0.000626
94,0.63949,0.014519500000000001,0.0007066,-0.0007066
95,0.63992,0.0137075,0.0008445,-0.0008445
96,0.64034,0.0138584,0.0007865999999999999,-0.0007865999999999999
97,0.64076,0.014113800000000001,0.0007416,-0.0007416
98,0.64118,0.0140099,0.0006123,-0.0006123
99,0.6416,0.015545,0.000771,-0.000771
100,0.64203,0.0148951,0.0007401,-0.0007401
101,0.64245,0.0147186,0.0007132,-0.0007132
102,0.64287,0.0139628,0.0006551,-0.0006551
103,0.64329,0.013367,0.0006129,-0.0006129
104,0.64372,0.0134582,0.0006121,-0.0006121
105,0.64414,0.014916700000000001,0.0007403,-0.0007403
106,0.64456,0.0152373,0.0006416,-0.0006416
107,0.64499,0.014181,0.000738,-0.000738
108,0.64541,0.015571,0.0007394000000000001,-0.0007394000000000001
109,0.64583,0.0144468,0.0006714000000000001,-0.0006714000000000001
110,0.64626,0.014257200000000001,0.0005673000000000001,-0.0005673000000000001
111,0.64668,0.0150393,0.0006529999999999999,-0.0006529999999999999
112,0.6471,0.0141638,0.0007108,-0.0007108
113,0.64753,0.014679800000000002,0.0006793000000000001,-0.0006793000000000001
114,0.64795,0.014339,0.0007748,-0.0007748
115,0.64838,0.013985700000000002,0.0005481,-0.0005481
116,0.6488,0.0133918,0.000558,-0.000558
117,0.64923,0.0141615,0.0006091,-0.0006091
118,0.64965,0.0140483,0.0006175,-0.0006175
119,0.65007,0.0144213,0.0005432,-0.0005432
120,0.6505,0.015157400000000001,0.0006524,-0.0006524
121,0.65092,0.0155192,0.0007401,-0.0007401
122,0.65135,0.014800800000000001,0.0007662,-0.0007662
123,0.65177,0.0149722,0.0008368000000000001,-0.0008368000000000001
124,0.6522,0.0140139,0.0006433999999999999,-0.0006433999999999999
125,0.65263,0.0155443,0.0007195,-0.0007195
126,0.65305,0.014524500000000001,0.0006815,-0.0006815
127,0.65348,0.013807,0.0005448,-0.0005448
128,0.6539,0.014272400000000001,0.0005637000000000001,-0.0005637000000000001
129,0.65433,0.0150591,0.0007498000000000001,-0.0007498000000000001
130,0.65475,0.0152792,0.0006319,-0.0006319
131,0.65518,0.0139392,0.0005943,-0.0005943
132,0.65561,0.015025100000000001,0.0005476000000000001,-0.0005476000000000001
133,0.65603,0.0147439,0.000678,-0.000678
134,0.65646,0.0159881,0.0007032,-0.0007032
135,0.65689,0.0129999,0.0006128,-0.0006128
136,0.65731,0.015320199999999999,0.0006354,-0.0006354
137,0.65774,0.015197400000000002,0.0006087999999999999,-0.0006087999999999999
138,0.65817,0.014594300000000001,0.0004953,-0.0004953
139,0.65859,0.0145672,0.0005523,-0.0005523
140,0.65902,0.014878800000000001,0.0005634,-0.0005634
141,0.65945,0.015502100000000001,0.0006794,-0.0006794
142,0.65988,0.0146645,0.0005989,-0.0005989
143,0.6603,0.0148531,0.00047030000000000005,-0.00047030000000000005
144,0.66073,0.014477400000000001,0.0004534,-0.0004534
145,0.66116,0.0132172,0.00041430000000000004,-0.00041430000000000004
146,0.66159,0.014511099999999999,0.0004381,-0.0004381
147,0.66202,0.0145272,0.0004664,-0.0004664
148,0.66244,0.0140807,0.0004423,-0.0004423
149,0.66287,0.0142538,0.00044929999999999997,-0.00044929999999999997
150,0.6633,0.0146184,0.0004631,-0.0004631
151,0.66373,0.014678400000000001,0.00043090000000000007,-0.00043090000000000007
152,0.66416,0.0141386,0.00043270000000000006,-0.00043270000000000006
153,0.66459,0.013806700000000002,0.0004535,-0.0004535
154,0.66502,0.014889300000000001,0.0004548,-0.0004548
155,0.66544,0.014801100000000001,0.0004293,-0.0004293
156,0.66587,0.0146935,0.00043880000000000004,-0.00043880000000000004
157,0.6663,0.0141236,0.00041860000000000004,-0.00041860000000000004
158,0.66673,0.014668500000000001,0.00044130000000000005,-0.00044130000000000005
159,0.66716,0.014410300000000001,0.0004435,-0.0004435
160,0.66759,0.014312700000000001,0.0004312,-0.0004312
161,0.66802,0.014475199999999999,0.0004156,-0.0004156
162,0.66845,0.014622999999999999,0.0004961,-0.0004961
163,0.66888,0.014020699999999999,0.0004004,-0.0004004
164,0.66931,0.013843000000000001,0.0004066,-0.0004066
165,0.66974,0.0139918,0.0004576,-0.0004576
166,0.67017,0.014512700000000002,0.0004273,-0.0004273
167,0.6706,0.0145618,0.00040419999999999996,-0.00040419999999999996
168,0.67103,0.014813400000000001,0.0004016,-0.0004016
169,0.67146,0.0142558,0.000448,-0.000448
170,0.67189,0.0145116,0.00043220000000000004,-0.00043220000000000004
171,0.67233,0.0144438,0.0004097,-0.0004097
172,0.67276,0.0132564,0.0004187,-0.0004187
173,0.67319,0.0148369,0.0004054,-0.0004054
174,0.67362,0.014227000000000002,0.0003914,-0.0003914
175,0.67405,0.0149339,0.0004326,-0.0004326
176,0.67448,0.0143211,0.00041480000000000005,-0.00041480000000000005
177,0.67491,0.014549000000000001,0.00042540000000000004,-0.00042540000000000004
178,0.67535,0.0152891,0.00041930000000000005,-0.00041930000000000005
179,0.67578,0.0151848,0.00043020000000000005,-0.00043020000000000005
180,0.67621,0.0134947,0.0004158,-0.0004158
181,0.67664,0.014216200000000002,0.0003914,-0.0003914
182,0.67707,0.014648099999999999,0.0003922,-0.0003922
183,0.67751,0.0143201,0.0004011,-0.0004011
184,0.67794,0.014488399999999999,0.00042750000000000004,-0.00042750000000000004
185,0.67837,0.0143797,0.0004201,-0.0004201
186,0.6788,0.015181500000000002,0.00043420000000000004,-0.00043420000000000004
187,0.67924,0.013772500000000002,0.0004286,-0.0004286
188,0.67967,0.0148001,0.0004194,-0.0004194
189,0.6801,0.014821200000000001,0.0004023,-0.0004023
190,0.68054,0.014883200000000001,0.0004257,-0.0004257
191,0.68097,0.014609700000000002,0.0003952,-0.0003952
192,0.6814,0.014351000000000001,0.00039890000000000005,-0.00039890000000000005
193,0.68184,0.0145029,0.00038330000000000005,-0.00038330000000000005
194,0.68227,0.0145807,0.00043200000000000004,-0.00043200000000000004
195,0.6827,0.014559899999999999,0.0003997,-0.0003997
196,0.68314,0.0143977,0.00039620000000000004,-0.00039620000000000004
197,0.68357,0.0146952,0.00036260000000000003,-0.00036260000000000003
198,0.68401,0.014838800000000001,0.0004119,-0.0004119
