Teff  logg FeH   profile       filter     wave_min wave_eff wave_max   c1     e1    c2    e2 
------ ---- ---- --------- --------------- -------- -------- -------- ------ ----- ----- -----
3100.0  5.0 -0.5 quadratic Kepler/Kepler.K    0.422   0.4294    0.437  0.258 0.036 0.706 0.037
3100.0  5.0 -0.5 quadratic Kepler/Kepler.K    0.438   0.4456    0.453  0.385 0.029 0.575  0.03
3100.0  5.0 -0.5 quadratic Kepler/Kepler.K    0.454   0.4614    0.469  0.705 0.013 0.264 0.013
3100.0  5.0 -0.5 quadratic Kepler/Kepler.K     0.47   0.4775    0.485  0.624 0.043 0.304 0.044
3100.0  5.0 -0.5 quadratic Kepler/Kepler.K    0.486   0.4934    0.501  0.466 0.035 0.472 0.036
3100.0  5.0 -0.5 quadratic Kepler/Kepler.K    0.502   0.5093    0.517  0.554 0.031 0.378 0.032
3100.0  5.0 -0.5 quadratic Kepler/Kepler.K    0.518   0.5254    0.533  0.363  0.04 0.574 0.042
3100.0  5.0 -0.5 quadratic Kepler/Kepler.K    0.534   0.5415    0.549  0.251 0.052 0.662 0.054
3100.0  5.0 -0.5 quadratic Kepler/Kepler.K     0.55   0.5576    0.565   0.59 0.016 0.367 0.016
3100.0  5.0 -0.5 quadratic Kepler/Kepler.K    0.566   0.5737    0.581  0.669 0.017 0.285 0.018
3100.0  5.0 -0.5 quadratic Kepler/Kepler.K    0.582   0.5894    0.597   0.64 0.026 0.275 0.027
3100.0  5.0 -0.5 quadratic Kepler/Kepler.K    0.598   0.6055    0.613  0.557 0.023 0.382 0.024
3100.0  5.0 -0.5 quadratic Kepler/Kepler.K    0.614   0.6216    0.629  0.709 0.024 0.207 0.025
3100.0  5.0 -0.5 quadratic Kepler/Kepler.K     0.63   0.6377    0.645  0.201 0.057 0.685 0.059
3100.0  5.0 -0.5 quadratic Kepler/Kepler.K    0.646   0.6533    0.661  0.433 0.028 0.499 0.029
3100.0  5.0 -0.5 quadratic Kepler/Kepler.K    0.662   0.6694    0.677  0.451 0.035 0.463 0.036
3100.0  5.0 -0.5 quadratic Kepler/Kepler.K    0.678   0.6855    0.693  0.527 0.046 0.327 0.047
3100.0  5.0 -0.5 quadratic Kepler/Kepler.K    0.694   0.7017    0.709  0.084 0.061 0.812 0.063
3100.0  5.0 -0.5 quadratic Kepler/Kepler.K     0.71   0.7173    0.725  0.759 0.023 0.069 0.024
3100.0  5.0 -0.5 quadratic Kepler/Kepler.K    0.726   0.7334    0.741 -0.163 0.102 1.035 0.105
3100.0  5.0 -0.5 quadratic Kepler/Kepler.K    0.742   0.7495    0.757  -0.22 0.125  1.07 0.129
3100.0  5.0 -0.5 quadratic Kepler/Kepler.K    0.758   0.7656    0.773 -0.063 0.102 0.915 0.106
3100.0  5.0 -0.5 quadratic Kepler/Kepler.K    0.774   0.7817    0.789  0.083 0.065 0.801 0.067
3100.0  5.0 -0.5 quadratic Kepler/Kepler.K     0.79   0.7974    0.805 -0.161 0.095 1.031 0.098
3100.0  5.0 -0.5 quadratic Kepler/Kepler.K    0.806   0.8135    0.821 -0.273 0.123 1.119 0.127
3100.0  5.0 -0.5 quadratic Kepler/Kepler.K    0.822   0.8296    0.837 -0.309 0.133 1.147 0.138
3100.0  5.0 -0.5 quadratic Kepler/Kepler.K    0.838   0.8457    0.853 -0.196 0.098 1.052 0.101
3100.0  5.0 -0.5 quadratic Kepler/Kepler.K    0.854   0.8613    0.869  -0.13 0.085 0.991 0.088
3100.0  5.0 -0.5 quadratic Kepler/Kepler.K     0.87   0.8774    0.885 -0.281  0.15 1.096 0.155
3100.0  5.0 -0.5 quadratic Kepler/Kepler.K    0.886   0.8936    0.901  0.019  0.08 0.828 0.083
